Record Length,10000,Points,-20.0000000,-18.5000002E-3,,Record Length,10000,Points,-20.0000000,1.2027344,,Record Length,10000,Points,-20.0000000,-305.62499166E-3,,Record Length,10000,Points,-20.0000000,2.6289063,
Sample Interval,4.00000019E-3,s,-19.9960003,-18.7500007E-3,,Sample Interval,4.00000019E-3,s,-19.9960003,1.2002343,,Sample Interval,4.00000019E-3,s,-19.9960003,-309.37498808E-3,,Sample Interval,4.00000019E-3,s,-19.9960003,2.6250000,
Trigger Point,5.00000000E3,Samples,-19.9920006,-18.9687517E-3,,Trigger Point,5.00000000E3,Samples,-19.9920006,1.1989062,,Trigger Point,5.00000000E3,Samples,-19.9920006,-309.37498808E-3,,Trigger Point,5.00000000E3,Samples,-19.9920006,2.6265626,
,,,-19.9880009,-18.9062506E-3,,,,,-19.9880009,1.1977344,,,,,-19.9880009,-309.37498808E-3,,,,,-19.9880009,2.6281250,
,,,-19.9839993,-19.0625004E-3,,,,,-19.9839993,1.1965625,,,,,-19.9839993,-309.37498808E-3,,,,,-19.9839993,2.6304688,
,,,-19.9799995,-19.2812514E-3,,,,,-19.9799995,1.1949999,,,,,-19.9799995,-312.50000000E-3,,,,,-19.9799995,2.6304688,
Source,CH1,,-19.9759998,-19.2812514E-3,,Source,CH2,,-19.9759998,1.1932812,,Source,CH3,,-19.9759998,-316.56250358E-3,,Source,CH4,,-19.9759998,2.6250000,
Vertical Units,V,,-19.9720001,-19.2187503E-3,,Vertical Units,V,,-19.9720001,1.1930468,,Vertical Units,V,,-19.9720001,-314.99999762E-3,,Vertical Units,V,,-19.9720001,2.6242187,
Vertical Scale,204.78125973E-3,,-19.9680004,-19.5312500E-3,,Vertical Scale,511.953113557E-3,,-19.9680004,1.1916406,,Vertical Scale,2.0478125,,-19.9680004,-315.93748927E-3,,Vertical Scale,5.11953133,,-19.9680004,2.6281250,
Vertical Offset,0,,-19.9640007,-19.6562503E-3,,Vertical Offset,0,,-19.9640007,1.1905469,,Vertical Offset,0,,-19.9640007,-315.62498212E-3,,Vertical Offset,0,,-19.9640007,2.6226563,
Horizontal Units,s,,-19.9599991,-19.5937511E-3,,Horizontal Units,s,,-19.9599991,1.1892968,,Horizontal Units,s,,-19.9599991,-319.37497854E-3,,Horizontal Units,s,,-19.9599991,2.6281250,
Horizontal Scale,4.00000019,,-19.9559994,-19.5000004E-3,,Horizontal Scale,4.00000019,,-19.9559994,1.1882031,,Horizontal Scale,4.00000019,,-19.9559994,-322.49999046E-3,,Horizontal Scale,4.00000019,,-19.9559994,2.6210938,
Pt Fmt,Y,,-19.9519997,-19.6562503E-3,,Pt Fmt,Y,,-19.9519997,1.1883594,,Pt Fmt,Y,,-19.9519997,-323.43748212E-3,,Pt Fmt,Y,,-19.9519997,2.6250000,
